Neuron1Id,Neuron2,Neuron2type,Neuron2Id,Weight,Neuron2Pre,Neuron2Post,WeightHP
911470352,,,942510043,1,1,0,1
911470352,EPG(PB08)_R6,EPG,942491983,1,477,3582,0
911470352,IbSpsP(PB17)_R6,IbSpsP,940787029,1,241,875,0
911470352,,,941814422,1,1,4,1
911470352,IbSpsP(PB17)_R6,IbSpsP,941814244,1,212,914,0
911470352,PFNv(PB05)_L4_C3,PFNv,911897818,1,214,957,1
911470352,PFNv(PB05)_R3_C8,PFNv,911504689,1,330,1576,1
911470352,IbSpsP(PB17)_R5/6,IbSpsP,910783805,1,229,787,0
911470352,PFNd(PB04)_L6_C5,PFNd,880538997,1,203,963,1
911470352,SpsP(PB16)_L,SpsP,881212361,1,224,48,1
911470352,PFR_b(PB11b)_L4_C5,PFR_b,819828716,1,323,1371,0
911470352,PFR_b(PB11b)_R4_C5,PFR_b,786989471,1,200,1833,0
911470352,PFNv(PB05)_R5_C6,PFNv,724267537,1,324,1294,0
911470352,PFR_a(PB11a)_L2_C2,PFR_a,634608015,1,502,1817,1
911470352,PFNv(PB05)_L2_C1,PFNv,604242162,1,327,1137,0
911470352,PFNv(PB05)_R6_C5,PFNv,601120917,1,249,935,0
911470352,PFNv(PB05)_R4_C7,PFNv,572494993,1,211,887,1
911470352,PEN_a(PB06a)_L7,PEN_a(PEN1),508793049,1,587,1607,1
911470352,PFNv(PB05)_L5_C4,PFNv,478427368,1,297,985,1
911470352,EPG(PB08)_L3,EPG,449438847,1,609,4595,0
